id,i_menu,i_order,i_parent,i_url,i_check_permissions,i_expanded,i_new_window,i_page_only,i_theme_img_code,i_caption,i_caption_long,i_include_sitemap
513,composr_homesite_header,25,,site:contributions,0,0,0,,,Contribute,Support our mission,
512,composr_homesite_header,17,,site:community,0,0,0,,,Community,,
511,composr_homesite_header,8,,site:support,0,0,0,,,Support,,
510,composr_homesite_header,26,,ocproducts:,0,0,0,,,Pro web design,Full website development service from ocProducts,
509,composr_homesite_header,7,,site:download,0,0,0,,,Download,Download Composr and find basic system requirements,
508,composr_homesite_header,1,,site:features,0,0,0,,,About,,
507,composr_homesite_header,0,,:start,0,0,0,,,Home,Front page,
522,composr_homesite_header,1,508,site:features,0,0,0,,,Features,,
523,composr_homesite_header,2,508,site:compare,0,0,0,,,Composr compared,,
524,composr_homesite_header,3,508,site:vision,0,0,0,,,Our vision,,
525,composr_homesite_header,4,508,site:antifeatures,0,0,0,,,What we're not,,
526,composr_homesite_header,5,508,site:demo,0,0,0,,,Demo,,
529,composr_homesite_header,8,511,site:support,0,0,0,,,Index,,
530,composr_homesite_header,9,511,docs:tutorials,0,0,0,,,Tutorials,,
532,composr_homesite_header,11,511,docs:faq,0,0,0,,,FAQ,,
533,composr_homesite_header,12,511,docs:codebook,0,0,0,,,Developer docs,,
534,composr_homesite_header,13,511,site:professional_support,0,0,0,,,Professional,,
545,composr_homesite_header,15,511,site:tickets,0,0,0,,,Existing tickets,,
535,composr_homesite_header,17,512,site:community,0,0,0,,,Index,,
536,composr_homesite_header,18,512,forum:forumview,0,0,0,,,Forums,Participate in the online Composr community,
537,composr_homesite_header,19,512,site:chat,0,0,0,,,Chat,,
538,composr_homesite_header,20,512,site:tracker,0,0,0,,,Issue Tracker,,
541,composr_homesite_header,21,512,site:stars,0,0,0,,,Community stars,Community members with the largest contributions,
539,composr_homesite_header,21,512,site:downloads:browse:{$COMPOSR_HOMESITE_ID_LATEST_TRANSLATIONS},0,0,0,,,Translations,,
540,composr_homesite_header,22,512,site:downloads:browse:{$COMPOSR_HOMESITE_ID_LATEST_ADDONS},0,0,0,,,Addons,,
520,composr_homesite_header,23,512,site:downloads:browse:{$COMPOSR_HOMESITE_ID_LATEST_THEMES},0,0,0,,,Themes,Pre-built Free and Commercial themes for styling an Composr site,
